,%Incorrect,Heart of Algebra,Passport to Advanced Math,Problem Solving and Data Analysis,Additional Topics,MC,SA
52,0.8822664924885696,0,1,0,0,0,1
53,0.8473220117570216,0,0,0,1,0,1
54,0.523514043109079,0,1,0,0,0,1
55,0.6489222730241672,1,0,0,0,0,1
56,0.7380796864794252,0,0,1,0,0,1
57,0.6979098628347485,0,0,1,0,0,1
58,0.2602944846518592,1,0,0,0,1,0
59,0.4030446718243075,1,0,0,0,1,0
60,0.4087846269029199,1,0,0,0,1,0
61,0.3271774394809084,0,1,0,0,1,0
62,0.7000249563264288,1,0,0,0,1,0
63,0.3588719740454205,1,0,0,0,1,0
64,0.1325180933366608,1,0,0,0,1,0
65,0.3735962066383828,0,1,0,0,1,0
66,0.2281008235587721,0,1,0,0,1,0
67,0.282256051909159,0,1,0,0,1,0
68,0.3950586473671075,0,0,0,1,1,0
69,0.2979785375592713,0,1,0,0,1,0
70,0.1110556526079361,1,0,0,0,1,0
71,0.5403044671824307,0,1,0,0,1,0
72,0.5285749937609184,0,0,0,1,1,0
73,0.5570252058896931,1,0,0,0,1,0
74,0.4527077614175193,1,0,0,0,1,0
75,0.2897429498377838,0,1,0,0,1,0
76,0.6708260544047916,0,1,0,0,1,0
77,0.8163214374844023,0,0,0,1,1,0
78,0.0766159221362615,1,0,0,0,0,1
79,0.1360119790366858,1,0,0,0,0,1
80,0.397304716745695,0,0,1,0,0,1
81,0.5315697529323683,0,0,1,0,0,1
82,0.2348390316945345,0,0,1,0,0,1
83,0.3329173945595208,0,1,0,0,0,1
84,0.3608684801597205,0,0,1,0,0,1
85,0.1761916645869728,1,0,0,0,0,1
86,0.4746693286748191,0,0,1,0,0,1
87,0.1519840279510856,0,0,1,0,0,1
88,0.1759421013226853,1,0,0,0,0,1
89,0.0878462690291989,1,0,0,0,0,1
90,0.6199151484901423,0,0,1,0,0,1
91,0.1791864237584227,1,0,0,0,0,1
92,0.560519091589718,0,0,1,0,0,1
93,0.3017219865235837,0,0,1,0,0,1
94,0.0935862241078113,0,0,1,0,0,1
95,0.3588719740454205,0,1,0,0,0,1
96,0.1899176441227851,1,0,0,0,0,1
97,0.3915647616670826,0,1,0,0,0,1
98,0.5318193161966559,0,0,0,1,0,1
99,0.5078612428250562,0,0,0,1,0,1
100,0.1380084851509857,0,0,1,0,0,1
101,0.5432992263538807,0,0,1,0,0,1
102,0.3858248065884702,0,1,0,0,0,1
103,0.1871724482156226,1,0,0,0,0,1
104,0.3261791864237584,0,1,0,0,0,1
105,0.4130272023958073,0,1,0,0,0,1
106,0.19940104816571,1,0,0,0,0,1
107,0.3059645620164711,0,1,0,0,0,1
108,0.682555527826304,0,1,0,0,0,1
109,0.7184926378837035,0,0,0,1,0,1
110,0.5288245570252059,0,1,0,0,0,1
111,0.6244072872473172,0,0,0,1,0,1
112,0.7454454704267531,0,1,0,0,0,1
113,0.4522086348889443,1,0,0,0,0,1
114,0.7314699276266533,0,0,1,0,0,1
115,0.7916146743199401,0,0,1,0,0,1
116,0.2620645573665708,1,0,0,0,1,0
117,0.1674656439757111,1,0,0,0,1,0
118,0.2911473314157878,1,0,0,0,1,0
119,0.1735378715244487,0,1,0,0,1,0
120,0.1693831895174177,1,0,0,0,1,0
121,0.1831255992329817,0,1,0,0,1,0
122,0.0901246404602109,1,0,0,0,1,0
123,0.1767337807606264,0,0,0,1,1,0
124,0.2623841482901886,0,1,0,0,1,0
125,0.0504953659316075,1,0,0,0,1,0
126,0.1920741450942793,1,0,0,0,1,0
127,0.2956216043464366,0,1,0,0,1,0
128,0.0680728667305848,1,0,0,0,1,0
129,0.6404602109300096,0,0,0,1,1,0
130,0.6532438478747203,0,1,0,0,1,0
131,0.3387663790348354,0,1,0,0,1,0
132,0.2898689677213167,1,0,0,0,1,0
133,0.6983061681048258,0,1,0,0,1,0
134,0.5107062959411953,0,0,0,1,1,0
135,0.4538191115372323,0,1,0,0,1,0
136,0.2579098753595398,1,0,0,0,0,1
